"","type","batch"
"cell 3111","acinar","fluidigmc1"
"cell 3112","acinar","fluidigmc1"
"cell 3113","acinar","fluidigmc1"
"cell 3114","acinar","fluidigmc1"
"cell 3115","acinar","fluidigmc1"
"cell 3116","acinar","fluidigmc1"
"cell 3117","acinar","fluidigmc1"
"cell 3118","acinar","fluidigmc1"
"cell 3119","acinar","fluidigmc1"
"cell 3120","acinar","fluidigmc1"
"cell 3121","acinar","fluidigmc1"
"cell 3122","acinar","fluidigmc1"
"cell 3123","acinar","fluidigmc1"
"cell 3124","acinar","fluidigmc1"
"cell 3125","acinar","fluidigmc1"
"cell 3126","acinar","fluidigmc1"
"cell 3127","acinar","fluidigmc1"
"cell 3128","acinar","fluidigmc1"
"cell 3129","acinar","fluidigmc1"
"cell 3130","alpha","fluidigmc1"
"cell 3131","alpha","fluidigmc1"
"cell 3132","alpha","fluidigmc1"
"cell 3133","alpha","fluidigmc1"
"cell 3134","alpha","fluidigmc1"
"cell 3135","alpha","fluidigmc1"
"cell 3136","alpha","fluidigmc1"
"cell 3137","alpha","fluidigmc1"
"cell 3138","alpha","fluidigmc1"
"cell 3139","alpha","fluidigmc1"
"cell 3140","alpha","fluidigmc1"
"cell 3141","alpha","fluidigmc1"
"cell 3142","alpha","fluidigmc1"
"cell 3143","alpha","fluidigmc1"
"cell 3144","alpha","fluidigmc1"
"cell 3145","alpha","fluidigmc1"
"cell 3146","alpha","fluidigmc1"
"cell 3147","alpha","fluidigmc1"
"cell 3148","alpha","fluidigmc1"
"cell 3149","alpha","fluidigmc1"
"cell 3150","alpha","fluidigmc1"
"cell 3151","alpha","fluidigmc1"
"cell 3152","alpha","fluidigmc1"
"cell 3153","alpha","fluidigmc1"
"cell 3154","alpha","fluidigmc1"
"cell 3155","alpha","fluidigmc1"
"cell 3156","alpha","fluidigmc1"
"cell 3157","alpha","fluidigmc1"
"cell 3158","alpha","fluidigmc1"
"cell 3159","alpha","fluidigmc1"
"cell 3160","alpha","fluidigmc1"
"cell 3161","alpha","fluidigmc1"
"cell 3162","alpha","fluidigmc1"
"cell 3163","alpha","fluidigmc1"
"cell 3164","alpha","fluidigmc1"
"cell 3165","alpha","fluidigmc1"
"cell 3166","alpha","fluidigmc1"
"cell 3167","alpha","fluidigmc1"
"cell 3168","alpha","fluidigmc1"
"cell 3169","alpha","fluidigmc1"
"cell 3170","alpha","fluidigmc1"
"cell 3171","alpha","fluidigmc1"
"cell 3172","alpha","fluidigmc1"
"cell 3173","alpha","fluidigmc1"
"cell 3174","alpha","fluidigmc1"
"cell 3175","alpha","fluidigmc1"
"cell 3176","alpha","fluidigmc1"
"cell 3177","alpha","fluidigmc1"
"cell 3178","alpha","fluidigmc1"
"cell 3179","alpha","fluidigmc1"
"cell 3180","alpha","fluidigmc1"
"cell 3181","alpha","fluidigmc1"
"cell 3182","alpha","fluidigmc1"
"cell 3183","alpha","fluidigmc1"
"cell 3184","alpha","fluidigmc1"
"cell 3185","alpha","fluidigmc1"
"cell 3186","alpha","fluidigmc1"
"cell 3187","alpha","fluidigmc1"
"cell 3188","alpha","fluidigmc1"
"cell 3189","alpha","fluidigmc1"
"cell 3190","alpha","fluidigmc1"
"cell 3191","alpha","fluidigmc1"
"cell 3192","alpha","fluidigmc1"
"cell 3193","alpha","fluidigmc1"
"cell 3194","alpha","fluidigmc1"
"cell 3195","alpha","fluidigmc1"
"cell 3196","alpha","fluidigmc1"
"cell 3197","alpha","fluidigmc1"
"cell 3198","alpha","fluidigmc1"
"cell 3199","alpha","fluidigmc1"
"cell 3200","alpha","fluidigmc1"
"cell 3201","alpha","fluidigmc1"
"cell 3202","alpha","fluidigmc1"
"cell 3203","alpha","fluidigmc1"
"cell 3204","alpha","fluidigmc1"
"cell 3205","alpha","fluidigmc1"
"cell 3206","alpha","fluidigmc1"
"cell 3207","alpha","fluidigmc1"
"cell 3208","alpha","fluidigmc1"
"cell 3209","alpha","fluidigmc1"
"cell 3210","alpha","fluidigmc1"
"cell 3211","alpha","fluidigmc1"
"cell 3212","alpha","fluidigmc1"
"cell 3213","alpha","fluidigmc1"
"cell 3214","alpha","fluidigmc1"
"cell 3215","alpha","fluidigmc1"
"cell 3216","alpha","fluidigmc1"
"cell 3217","alpha","fluidigmc1"
"cell 3218","alpha","fluidigmc1"
"cell 3219","alpha","fluidigmc1"
"cell 3220","alpha","fluidigmc1"
"cell 3221","alpha","fluidigmc1"
"cell 3222","alpha","fluidigmc1"
"cell 3223","alpha","fluidigmc1"
"cell 3224","alpha","fluidigmc1"
"cell 3225","alpha","fluidigmc1"
"cell 3226","alpha","fluidigmc1"
"cell 3227","alpha","fluidigmc1"
"cell 3228","alpha","fluidigmc1"
"cell 3229","alpha","fluidigmc1"
"cell 3230","alpha","fluidigmc1"
"cell 3231","alpha","fluidigmc1"
"cell 3232","alpha","fluidigmc1"
"cell 3233","alpha","fluidigmc1"
"cell 3234","alpha","fluidigmc1"
"cell 3235","alpha","fluidigmc1"
"cell 3236","alpha","fluidigmc1"
"cell 3237","alpha","fluidigmc1"
"cell 3238","alpha","fluidigmc1"
"cell 3239","alpha","fluidigmc1"
"cell 3240","alpha","fluidigmc1"
"cell 3241","alpha","fluidigmc1"
"cell 3242","alpha","fluidigmc1"
"cell 3243","alpha","fluidigmc1"
"cell 3244","alpha","fluidigmc1"
"cell 3245","alpha","fluidigmc1"
"cell 3246","alpha","fluidigmc1"
"cell 3247","alpha","fluidigmc1"
"cell 3248","alpha","fluidigmc1"
"cell 3249","alpha","fluidigmc1"
"cell 3250","alpha","fluidigmc1"
"cell 3251","alpha","fluidigmc1"
"cell 3252","alpha","fluidigmc1"
"cell 3253","alpha","fluidigmc1"
"cell 3254","alpha","fluidigmc1"
"cell 3255","alpha","fluidigmc1"
"cell 3256","alpha","fluidigmc1"
"cell 3257","alpha","fluidigmc1"
"cell 3258","alpha","fluidigmc1"
"cell 3259","alpha","fluidigmc1"
"cell 3260","alpha","fluidigmc1"
"cell 3261","alpha","fluidigmc1"
"cell 3262","alpha","fluidigmc1"
"cell 3263","alpha","fluidigmc1"
"cell 3264","alpha","fluidigmc1"
"cell 3265","alpha","fluidigmc1"
"cell 3266","alpha","fluidigmc1"
"cell 3267","alpha","fluidigmc1"
"cell 3268","alpha","fluidigmc1"
"cell 3269","alpha","fluidigmc1"
"cell 3270","alpha","fluidigmc1"
"cell 3271","alpha","fluidigmc1"
"cell 3272","alpha","fluidigmc1"
"cell 3273","alpha","fluidigmc1"
"cell 3274","alpha","fluidigmc1"
"cell 3275","alpha","fluidigmc1"
"cell 3276","alpha","fluidigmc1"
"cell 3277","alpha","fluidigmc1"
"cell 3278","alpha","fluidigmc1"
"cell 3279","alpha","fluidigmc1"
"cell 3280","alpha","fluidigmc1"
"cell 3281","alpha","fluidigmc1"
"cell 3282","alpha","fluidigmc1"
"cell 3283","alpha","fluidigmc1"
"cell 3284","alpha","fluidigmc1"
"cell 3285","alpha","fluidigmc1"
"cell 3286","alpha","fluidigmc1"
"cell 3287","alpha","fluidigmc1"
"cell 3288","alpha","fluidigmc1"
"cell 3289","alpha","fluidigmc1"
"cell 3290","alpha","fluidigmc1"
"cell 3291","alpha","fluidigmc1"
"cell 3292","alpha","fluidigmc1"
"cell 3293","alpha","fluidigmc1"
"cell 3294","alpha","fluidigmc1"
"cell 3295","alpha","fluidigmc1"
"cell 3296","alpha","fluidigmc1"
"cell 3297","alpha","fluidigmc1"
"cell 3298","alpha","fluidigmc1"
"cell 3299","alpha","fluidigmc1"
"cell 3300","alpha","fluidigmc1"
"cell 3301","alpha","fluidigmc1"
"cell 3302","alpha","fluidigmc1"
"cell 3303","alpha","fluidigmc1"
"cell 3304","alpha","fluidigmc1"
"cell 3305","alpha","fluidigmc1"
"cell 3306","alpha","fluidigmc1"
"cell 3307","alpha","fluidigmc1"
"cell 3308","alpha","fluidigmc1"
"cell 3309","alpha","fluidigmc1"
"cell 3310","alpha","fluidigmc1"
"cell 3311","alpha","fluidigmc1"
"cell 3312","alpha","fluidigmc1"
"cell 3313","alpha","fluidigmc1"
"cell 3314","alpha","fluidigmc1"
"cell 3315","alpha","fluidigmc1"
"cell 3316","alpha","fluidigmc1"
"cell 3317","alpha","fluidigmc1"
"cell 3318","alpha","fluidigmc1"
"cell 3319","alpha","fluidigmc1"
"cell 3320","alpha","fluidigmc1"
"cell 3321","alpha","fluidigmc1"
"cell 3322","alpha","fluidigmc1"
"cell 3323","alpha","fluidigmc1"
"cell 3324","alpha","fluidigmc1"
"cell 3325","alpha","fluidigmc1"
"cell 3326","alpha","fluidigmc1"
"cell 3327","alpha","fluidigmc1"
"cell 3328","alpha","fluidigmc1"
"cell 3329","alpha","fluidigmc1"
"cell 3330","alpha","fluidigmc1"
"cell 3331","alpha","fluidigmc1"
"cell 3332","alpha","fluidigmc1"
"cell 3333","alpha","fluidigmc1"
"cell 3334","alpha","fluidigmc1"
"cell 3335","alpha","fluidigmc1"
"cell 3336","alpha","fluidigmc1"
"cell 3337","alpha","fluidigmc1"
"cell 3338","alpha","fluidigmc1"
"cell 3339","alpha","fluidigmc1"
"cell 3340","alpha","fluidigmc1"
"cell 3341","alpha","fluidigmc1"
"cell 3342","alpha","fluidigmc1"
"cell 3343","alpha","fluidigmc1"
"cell 3344","alpha","fluidigmc1"
"cell 3345","alpha","fluidigmc1"
"cell 3346","alpha","fluidigmc1"
"cell 3347","alpha","fluidigmc1"
"cell 3348","alpha","fluidigmc1"
"cell 3349","alpha","fluidigmc1"
"cell 3350","alpha","fluidigmc1"
"cell 3351","alpha","fluidigmc1"
"cell 3352","alpha","fluidigmc1"
"cell 3353","alpha","fluidigmc1"
"cell 3354","alpha","fluidigmc1"
"cell 3355","alpha","fluidigmc1"
"cell 3356","alpha","fluidigmc1"
"cell 3357","alpha","fluidigmc1"
"cell 3358","alpha","fluidigmc1"
"cell 3359","alpha","fluidigmc1"
"cell 3360","alpha","fluidigmc1"
"cell 3361","alpha","fluidigmc1"
"cell 3362","alpha","fluidigmc1"
"cell 3363","alpha","fluidigmc1"
"cell 3364","alpha","fluidigmc1"
"cell 3365","alpha","fluidigmc1"
"cell 3366","alpha","fluidigmc1"
"cell 3367","alpha","fluidigmc1"
"cell 3368","alpha","fluidigmc1"
"cell 3369","beta","fluidigmc1"
"cell 3370","beta","fluidigmc1"
"cell 3371","beta","fluidigmc1"
"cell 3372","beta","fluidigmc1"
"cell 3373","beta","fluidigmc1"
"cell 3374","beta","fluidigmc1"
"cell 3375","beta","fluidigmc1"
"cell 3376","beta","fluidigmc1"
"cell 3377","beta","fluidigmc1"
"cell 3378","beta","fluidigmc1"
"cell 3379","beta","fluidigmc1"
"cell 3380","beta","fluidigmc1"
"cell 3381","beta","fluidigmc1"
"cell 3382","beta","fluidigmc1"
"cell 3383","beta","fluidigmc1"
"cell 3384","beta","fluidigmc1"
"cell 3385","beta","fluidigmc1"
"cell 3386","beta","fluidigmc1"
"cell 3387","beta","fluidigmc1"
"cell 3388","beta","fluidigmc1"
"cell 3389","beta","fluidigmc1"
"cell 3390","beta","fluidigmc1"
"cell 3391","beta","fluidigmc1"
"cell 3392","beta","fluidigmc1"
"cell 3393","beta","fluidigmc1"
"cell 3394","beta","fluidigmc1"
"cell 3395","beta","fluidigmc1"
"cell 3396","beta","fluidigmc1"
"cell 3397","beta","fluidigmc1"
"cell 3398","beta","fluidigmc1"
"cell 3399","beta","fluidigmc1"
"cell 3400","beta","fluidigmc1"
"cell 3401","beta","fluidigmc1"
"cell 3402","beta","fluidigmc1"
"cell 3403","beta","fluidigmc1"
"cell 3404","beta","fluidigmc1"
"cell 3405","beta","fluidigmc1"
"cell 3406","beta","fluidigmc1"
"cell 3407","beta","fluidigmc1"
"cell 3408","beta","fluidigmc1"
"cell 3409","beta","fluidigmc1"
"cell 3410","beta","fluidigmc1"
"cell 3411","beta","fluidigmc1"
"cell 3412","beta","fluidigmc1"
"cell 3413","beta","fluidigmc1"
"cell 3414","beta","fluidigmc1"
"cell 3415","beta","fluidigmc1"
"cell 3416","beta","fluidigmc1"
"cell 3417","beta","fluidigmc1"
"cell 3418","beta","fluidigmc1"
"cell 3419","beta","fluidigmc1"
"cell 3420","beta","fluidigmc1"
"cell 3421","beta","fluidigmc1"
"cell 3422","beta","fluidigmc1"
"cell 3423","beta","fluidigmc1"
"cell 3424","beta","fluidigmc1"
"cell 3425","beta","fluidigmc1"
"cell 3426","beta","fluidigmc1"
"cell 3427","beta","fluidigmc1"
"cell 3428","beta","fluidigmc1"
"cell 3429","beta","fluidigmc1"
"cell 3430","beta","fluidigmc1"
"cell 3431","beta","fluidigmc1"
"cell 3432","beta","fluidigmc1"
"cell 3433","beta","fluidigmc1"
"cell 3434","beta","fluidigmc1"
"cell 3435","beta","fluidigmc1"
"cell 3436","beta","fluidigmc1"
"cell 3437","beta","fluidigmc1"
"cell 3438","beta","fluidigmc1"
"cell 3439","beta","fluidigmc1"
"cell 3440","beta","fluidigmc1"
"cell 3441","beta","fluidigmc1"
"cell 3442","beta","fluidigmc1"
"cell 3443","beta","fluidigmc1"
"cell 3444","beta","fluidigmc1"
"cell 3445","beta","fluidigmc1"
"cell 3446","beta","fluidigmc1"
"cell 3447","beta","fluidigmc1"
"cell 3448","beta","fluidigmc1"
"cell 3449","beta","fluidigmc1"
"cell 3450","beta","fluidigmc1"
"cell 3451","beta","fluidigmc1"
"cell 3452","beta","fluidigmc1"
"cell 3453","beta","fluidigmc1"
"cell 3454","beta","fluidigmc1"
"cell 3455","beta","fluidigmc1"
"cell 3456","beta","fluidigmc1"
"cell 3457","beta","fluidigmc1"
"cell 3458","beta","fluidigmc1"
"cell 3459","beta","fluidigmc1"
"cell 3460","beta","fluidigmc1"
"cell 3461","beta","fluidigmc1"
"cell 3462","beta","fluidigmc1"
"cell 3463","beta","fluidigmc1"
"cell 3464","beta","fluidigmc1"
"cell 3465","beta","fluidigmc1"
"cell 3466","beta","fluidigmc1"
"cell 3467","beta","fluidigmc1"
"cell 3468","beta","fluidigmc1"
"cell 3469","beta","fluidigmc1"
"cell 3470","beta","fluidigmc1"
"cell 3471","beta","fluidigmc1"
"cell 3472","beta","fluidigmc1"
"cell 3473","beta","fluidigmc1"
"cell 3474","beta","fluidigmc1"
"cell 3475","beta","fluidigmc1"
"cell 3476","beta","fluidigmc1"
"cell 3477","beta","fluidigmc1"
"cell 3478","beta","fluidigmc1"
"cell 3479","beta","fluidigmc1"
"cell 3480","beta","fluidigmc1"
"cell 3481","beta","fluidigmc1"
"cell 3482","beta","fluidigmc1"
"cell 3483","beta","fluidigmc1"
"cell 3484","beta","fluidigmc1"
"cell 3485","beta","fluidigmc1"
"cell 3486","beta","fluidigmc1"
"cell 3487","beta","fluidigmc1"
"cell 3488","beta","fluidigmc1"
"cell 3489","beta","fluidigmc1"
"cell 3490","beta","fluidigmc1"
"cell 3491","beta","fluidigmc1"
"cell 3492","beta","fluidigmc1"
"cell 3493","beta","fluidigmc1"
"cell 3494","beta","fluidigmc1"
"cell 3495","beta","fluidigmc1"
"cell 3496","beta","fluidigmc1"
"cell 3497","beta","fluidigmc1"
"cell 3498","beta","fluidigmc1"
"cell 3499","beta","fluidigmc1"
"cell 3500","beta","fluidigmc1"
"cell 3501","beta","fluidigmc1"
"cell 3502","beta","fluidigmc1"
"cell 3503","beta","fluidigmc1"
"cell 3504","beta","fluidigmc1"
"cell 3505","beta","fluidigmc1"
"cell 3506","beta","fluidigmc1"
"cell 3507","beta","fluidigmc1"
"cell 3508","beta","fluidigmc1"
"cell 3509","beta","fluidigmc1"
"cell 3510","beta","fluidigmc1"
"cell 3511","beta","fluidigmc1"
"cell 3512","beta","fluidigmc1"
"cell 3513","beta","fluidigmc1"
"cell 3514","beta","fluidigmc1"
"cell 3515","beta","fluidigmc1"
"cell 3516","beta","fluidigmc1"
"cell 3517","beta","fluidigmc1"
"cell 3518","beta","fluidigmc1"
"cell 3519","beta","fluidigmc1"
"cell 3520","beta","fluidigmc1"
"cell 3521","beta","fluidigmc1"
"cell 3522","beta","fluidigmc1"
"cell 3523","beta","fluidigmc1"
"cell 3524","beta","fluidigmc1"
"cell 3525","beta","fluidigmc1"
"cell 3526","beta","fluidigmc1"
"cell 3527","beta","fluidigmc1"
"cell 3528","beta","fluidigmc1"
"cell 3529","beta","fluidigmc1"
"cell 3530","beta","fluidigmc1"
"cell 3531","beta","fluidigmc1"
"cell 3532","beta","fluidigmc1"
"cell 3533","beta","fluidigmc1"
"cell 3534","beta","fluidigmc1"
"cell 3535","beta","fluidigmc1"
"cell 3536","beta","fluidigmc1"
"cell 3537","beta","fluidigmc1"
"cell 3538","beta","fluidigmc1"
"cell 3539","beta","fluidigmc1"
"cell 3540","beta","fluidigmc1"
"cell 3541","beta","fluidigmc1"
"cell 3542","beta","fluidigmc1"
"cell 3543","beta","fluidigmc1"
"cell 3544","beta","fluidigmc1"
"cell 3545","beta","fluidigmc1"
"cell 3546","beta","fluidigmc1"
"cell 3547","beta","fluidigmc1"
"cell 3548","beta","fluidigmc1"
"cell 3549","beta","fluidigmc1"
"cell 3550","beta","fluidigmc1"
"cell 3551","beta","fluidigmc1"
"cell 3552","beta","fluidigmc1"
"cell 3553","beta","fluidigmc1"
"cell 3554","beta","fluidigmc1"
"cell 3555","beta","fluidigmc1"
"cell 3556","beta","fluidigmc1"
"cell 3557","beta","fluidigmc1"
"cell 3558","beta","fluidigmc1"
"cell 3559","beta","fluidigmc1"
"cell 3560","beta","fluidigmc1"
"cell 3561","beta","fluidigmc1"
"cell 3562","beta","fluidigmc1"
"cell 3563","beta","fluidigmc1"
"cell 3564","beta","fluidigmc1"
"cell 3565","beta","fluidigmc1"
"cell 3566","beta","fluidigmc1"
"cell 3567","beta","fluidigmc1"
"cell 3568","beta","fluidigmc1"
"cell 3569","beta","fluidigmc1"
"cell 3570","beta","fluidigmc1"
"cell 3571","beta","fluidigmc1"
"cell 3572","beta","fluidigmc1"
"cell 3573","beta","fluidigmc1"
"cell 3574","beta","fluidigmc1"
"cell 3575","beta","fluidigmc1"
"cell 3576","beta","fluidigmc1"
"cell 3577","beta","fluidigmc1"
"cell 3578","beta","fluidigmc1"
"cell 3579","beta","fluidigmc1"
"cell 3580","beta","fluidigmc1"
"cell 3581","beta","fluidigmc1"
"cell 3582","beta","fluidigmc1"
"cell 3583","beta","fluidigmc1"
"cell 3584","beta","fluidigmc1"
"cell 3585","beta","fluidigmc1"
"cell 3586","beta","fluidigmc1"
"cell 3587","beta","fluidigmc1"
"cell 3588","beta","fluidigmc1"
"cell 3589","beta","fluidigmc1"
"cell 3590","beta","fluidigmc1"
"cell 3591","beta","fluidigmc1"
"cell 3592","beta","fluidigmc1"
"cell 3593","beta","fluidigmc1"
"cell 3594","beta","fluidigmc1"
"cell 3595","beta","fluidigmc1"
"cell 3596","beta","fluidigmc1"
"cell 3597","beta","fluidigmc1"
"cell 3598","beta","fluidigmc1"
"cell 3599","beta","fluidigmc1"
"cell 3600","beta","fluidigmc1"
"cell 3601","beta","fluidigmc1"
"cell 3602","beta","fluidigmc1"
"cell 3603","beta","fluidigmc1"
"cell 3604","beta","fluidigmc1"
"cell 3605","beta","fluidigmc1"
"cell 3606","beta","fluidigmc1"
"cell 3607","beta","fluidigmc1"
"cell 3608","beta","fluidigmc1"
"cell 3609","beta","fluidigmc1"
"cell 3610","beta","fluidigmc1"
"cell 3611","beta","fluidigmc1"
"cell 3612","beta","fluidigmc1"
"cell 3613","beta","fluidigmc1"
"cell 3614","beta","fluidigmc1"
"cell 3615","beta","fluidigmc1"
"cell 3616","beta","fluidigmc1"
"cell 3617","beta","fluidigmc1"
"cell 3618","beta","fluidigmc1"
"cell 3619","beta","fluidigmc1"
"cell 3620","beta","fluidigmc1"
"cell 3621","beta","fluidigmc1"
"cell 3622","beta","fluidigmc1"
"cell 3623","beta","fluidigmc1"
"cell 3624","beta","fluidigmc1"
"cell 3625","beta","fluidigmc1"
"cell 3626","beta","fluidigmc1"
"cell 3627","delta","fluidigmc1"
"cell 3628","delta","fluidigmc1"
"cell 3629","delta","fluidigmc1"
"cell 3630","delta","fluidigmc1"
"cell 3631","delta","fluidigmc1"
"cell 3632","delta","fluidigmc1"
"cell 3633","delta","fluidigmc1"
"cell 3634","delta","fluidigmc1"
"cell 3635","delta","fluidigmc1"
"cell 3636","delta","fluidigmc1"
"cell 3637","delta","fluidigmc1"
"cell 3638","delta","fluidigmc1"
"cell 3639","delta","fluidigmc1"
"cell 3640","delta","fluidigmc1"
"cell 3641","delta","fluidigmc1"
"cell 3642","delta","fluidigmc1"
"cell 3643","delta","fluidigmc1"
"cell 3644","delta","fluidigmc1"
"cell 3645","delta","fluidigmc1"
"cell 3646","delta","fluidigmc1"
"cell 3647","delta","fluidigmc1"
"cell 3648","delta","fluidigmc1"
"cell 3649","delta","fluidigmc1"
"cell 3650","delta","fluidigmc1"
"cell 3651","delta","fluidigmc1"
"cell 3652","ductal","fluidigmc1"
"cell 3653","ductal","fluidigmc1"
"cell 3654","ductal","fluidigmc1"
"cell 3655","ductal","fluidigmc1"
"cell 3656","ductal","fluidigmc1"
"cell 3657","ductal","fluidigmc1"
"cell 3658","ductal","fluidigmc1"
"cell 3659","ductal","fluidigmc1"
"cell 3660","ductal","fluidigmc1"
"cell 3661","ductal","fluidigmc1"
"cell 3662","ductal","fluidigmc1"
"cell 3663","ductal","fluidigmc1"
"cell 3664","ductal","fluidigmc1"
"cell 3665","ductal","fluidigmc1"
"cell 3666","ductal","fluidigmc1"
"cell 3667","ductal","fluidigmc1"
"cell 3668","ductal","fluidigmc1"
"cell 3669","ductal","fluidigmc1"
"cell 3670","ductal","fluidigmc1"
"cell 3671","ductal","fluidigmc1"
"cell 3672","ductal","fluidigmc1"
"cell 3673","ductal","fluidigmc1"
"cell 3674","ductal","fluidigmc1"
"cell 3675","ductal","fluidigmc1"
"cell 3676","ductal","fluidigmc1"
"cell 3677","ductal","fluidigmc1"
"cell 3678","ductal","fluidigmc1"
"cell 3679","ductal","fluidigmc1"
"cell 3680","ductal","fluidigmc1"
"cell 3681","ductal","fluidigmc1"
"cell 3682","ductal","fluidigmc1"
"cell 3683","ductal","fluidigmc1"
"cell 3684","ductal","fluidigmc1"
"cell 3685","ductal","fluidigmc1"
"cell 3686","ductal","fluidigmc1"
"cell 3687","ductal","fluidigmc1"
"cell 3688","gamma","fluidigmc1"
"cell 3689","gamma","fluidigmc1"
"cell 3690","gamma","fluidigmc1"
"cell 3691","gamma","fluidigmc1"
"cell 3692","gamma","fluidigmc1"
"cell 3693","gamma","fluidigmc1"
"cell 3694","gamma","fluidigmc1"
"cell 3695","gamma","fluidigmc1"
"cell 3696","gamma","fluidigmc1"
"cell 3697","gamma","fluidigmc1"
"cell 3698","gamma","fluidigmc1"
"cell 3699","gamma","fluidigmc1"
"cell 3700","gamma","fluidigmc1"
"cell 3701","gamma","fluidigmc1"
"cell 3702","gamma","fluidigmc1"
"cell 3703","gamma","fluidigmc1"
"cell 3704","gamma","fluidigmc1"
"cell 3705","gamma","fluidigmc1"
"cell 3706","acinar","smartseq2"
"cell 3707","acinar","smartseq2"
"cell 3708","acinar","smartseq2"
"cell 3709","acinar","smartseq2"
"cell 3710","acinar","smartseq2"
"cell 3711","acinar","smartseq2"
"cell 3712","acinar","smartseq2"
"cell 3713","acinar","smartseq2"
"cell 3714","acinar","smartseq2"
"cell 3715","acinar","smartseq2"
"cell 3716","acinar","smartseq2"
"cell 3717","acinar","smartseq2"
"cell 3718","acinar","smartseq2"
"cell 3719","acinar","smartseq2"
"cell 3720","acinar","smartseq2"
"cell 3721","acinar","smartseq2"
"cell 3722","acinar","smartseq2"
"cell 3723","acinar","smartseq2"
"cell 3724","acinar","smartseq2"
"cell 3725","acinar","smartseq2"
"cell 3726","acinar","smartseq2"
"cell 3727","acinar","smartseq2"
"cell 3728","acinar","smartseq2"
"cell 3729","acinar","smartseq2"
"cell 3730","acinar","smartseq2"
"cell 3731","acinar","smartseq2"
"cell 3732","acinar","smartseq2"
"cell 3733","acinar","smartseq2"
"cell 3734","acinar","smartseq2"
"cell 3735","acinar","smartseq2"
"cell 3736","acinar","smartseq2"
"cell 3737","acinar","smartseq2"
"cell 3738","acinar","smartseq2"
"cell 3739","acinar","smartseq2"
"cell 3740","acinar","smartseq2"
"cell 3741","acinar","smartseq2"
"cell 3742","acinar","smartseq2"
"cell 3743","acinar","smartseq2"
"cell 3744","acinar","smartseq2"
"cell 3745","acinar","smartseq2"
"cell 3746","acinar","smartseq2"
"cell 3747","acinar","smartseq2"
"cell 3748","acinar","smartseq2"
"cell 3749","acinar","smartseq2"
"cell 3750","acinar","smartseq2"
"cell 3751","acinar","smartseq2"
"cell 3752","acinar","smartseq2"
"cell 3753","acinar","smartseq2"
"cell 3754","acinar","smartseq2"
"cell 3755","acinar","smartseq2"
"cell 3756","acinar","smartseq2"
"cell 3757","acinar","smartseq2"
"cell 3758","acinar","smartseq2"
"cell 3759","acinar","smartseq2"
"cell 3760","acinar","smartseq2"
"cell 3761","acinar","smartseq2"
"cell 3762","acinar","smartseq2"
"cell 3763","acinar","smartseq2"
"cell 3764","acinar","smartseq2"
"cell 3765","acinar","smartseq2"
"cell 3766","acinar","smartseq2"
"cell 3767","acinar","smartseq2"
"cell 3768","acinar","smartseq2"
"cell 3769","acinar","smartseq2"
"cell 3770","acinar","smartseq2"
"cell 3771","acinar","smartseq2"
"cell 3772","acinar","smartseq2"
"cell 3773","acinar","smartseq2"
"cell 3774","acinar","smartseq2"
"cell 3775","acinar","smartseq2"
"cell 3776","acinar","smartseq2"
"cell 3777","acinar","smartseq2"
"cell 3778","acinar","smartseq2"
"cell 3779","acinar","smartseq2"
"cell 3780","acinar","smartseq2"
"cell 3781","acinar","smartseq2"
"cell 3782","acinar","smartseq2"
"cell 3783","acinar","smartseq2"
"cell 3784","acinar","smartseq2"
"cell 3785","acinar","smartseq2"
"cell 3786","acinar","smartseq2"
"cell 3787","acinar","smartseq2"
"cell 3788","acinar","smartseq2"
"cell 3789","acinar","smartseq2"
"cell 3790","acinar","smartseq2"
"cell 3791","acinar","smartseq2"
"cell 3792","acinar","smartseq2"
"cell 3793","acinar","smartseq2"
"cell 3794","acinar","smartseq2"
"cell 3795","acinar","smartseq2"
"cell 3796","acinar","smartseq2"
"cell 3797","acinar","smartseq2"
"cell 3798","acinar","smartseq2"
"cell 3799","acinar","smartseq2"
"cell 3800","acinar","smartseq2"
"cell 3801","acinar","smartseq2"
"cell 3802","acinar","smartseq2"
"cell 3803","acinar","smartseq2"
"cell 3804","acinar","smartseq2"
"cell 3805","acinar","smartseq2"
"cell 3806","acinar","smartseq2"
"cell 3807","acinar","smartseq2"
"cell 3808","acinar","smartseq2"
"cell 3809","acinar","smartseq2"
"cell 3810","acinar","smartseq2"
"cell 3811","acinar","smartseq2"
"cell 3812","acinar","smartseq2"
"cell 3813","acinar","smartseq2"
"cell 3814","acinar","smartseq2"
"cell 3815","acinar","smartseq2"
"cell 3816","acinar","smartseq2"
"cell 3817","acinar","smartseq2"
"cell 3818","acinar","smartseq2"
"cell 3819","acinar","smartseq2"
"cell 3820","acinar","smartseq2"
"cell 3821","acinar","smartseq2"
"cell 3822","acinar","smartseq2"
"cell 3823","acinar","smartseq2"
"cell 3824","acinar","smartseq2"
"cell 3825","acinar","smartseq2"
"cell 3826","acinar","smartseq2"
"cell 3827","acinar","smartseq2"
"cell 3828","acinar","smartseq2"
"cell 3829","acinar","smartseq2"
"cell 3830","acinar","smartseq2"
"cell 3831","acinar","smartseq2"
"cell 3832","acinar","smartseq2"
"cell 3833","acinar","smartseq2"
"cell 3834","acinar","smartseq2"
"cell 3835","acinar","smartseq2"
"cell 3836","acinar","smartseq2"
